STT,Question,Label
435,Bạn có nghĩ rằng mình sẽ thành công không?,Yes/No
436,Điều gì khiến bạn yêu thích lĩnh vực giáo dục?,Why
437,Thành phố nào bạn thích sống nhất?,Where
438,Lý do nào khiến bạn chọn sản phẩm này?,Why
439,Số lượng khách mời dự kiến là bao nhiêu?,Quantity
440,Làm thế nào bạn vượt qua những khó khăn trong cuộc sống?,How
441,Loại sách nào bạn thích đọc nhất?,What
442,Bạn nghĩ rằng công nghệ ảnh hưởng đến cuộc sống như thế nào?,What
443,Ai là người đã truyền cảm hứng cho bạn?,Who
444,Bạn thường làm gì để thư giãn sau một ngày dài?,How
445,Bạn có cảm thấy cần thêm thời gian không?,Yes/No
446,Ngày nào bạn cảm thấy hạnh phúc nhất trong đời?,When
447,Đây có phải là lần đầu bạn đến nơi này không?,Yes/No
448,Loại hình nghệ thuật nào bạn thấy thú vị nhất?,What
449,Bạn nghĩ gì về giá trị của lòng trung thực?,What
450,Thời điểm nào bạn thấy bản thân mạnh mẽ nhất?,When
451,Ai sẽ đại diện công ty tham dự buổi hội thảo?,Who
452,Cái gì giúp bạn vượt qua những thử thách?,What
453,Làm thế nào để bạn tạo động lực cho nhân viên?,How
454,Bạn thích loại phim nào nhất?,What
455,Tại sao bạn nghĩ rằng kế hoạch này sẽ thành công?,Why
456,Bạn muốn làm gì trong thời gian rảnh rỗi?,What
457,Điều gì là nguồn động lực lớn nhất của bạn?,What
458,Cách nào để quản lý dự án hiệu quả hơn?,How
459,Cố vấn học tập của lớp ET-E16 02 - K67 là ai?,Who
460,Lớp ET-E16 02 - K67 có bao nhiêu sinh viên?,Quantity
461,Lớp ET-E16 02 - K67 có sinh viên nước ngoài không?,Yes/No
462,Làm thế nào để đạt được học bổng?,How
463,"Cần làm gì để đạt được danh hiệu ""Sinh viên 5 tốt""",How
464,Bạn đã học được những điều gì từ môn NLP?,What
465,Bạn có thường xuyên tham gia các hoạt động tình nguyện không?,Yes/No
466,Làm thế nào bạn chọn được món ăn trong thực đơn?,How
467,Mỗi ngày bạn học bao nhiêu giờ?,Quantity
468,Người đàn ông cao nhất thế giới là ai?,Who
469,SEEECUP diễn ra vào khi nào?,When
470,Điều gì làm ảnh hưởng đến kết quả học tập của bạn?,What
471,Bạn có kế hoạch gì để cải thiện kết quả học tập của mình?,How
472,Bạn làm thế nào để chọn được sản phẩm điện thoại phù hợp?,How
473,Thủ đô của nước Đức là gì?,Where
474,Bạn thường làm gì để giảm stress?,How
475,"Trong tuần qua, bạn đã nghe bao nhiêu bài hát thuộc thể loại bạn thích?",Quantity
476,Bạn cao bao nhiêu cm?,Quantity
477,Tại sao bạn lại chọn ngành Truyền thông số và Kỹ thuật đa phương tiện?,Why
478,Bạn hài lòng với lựa chọn này chứ?,Yes/No
479,Làm thế nào để học tốt các môn đại cương?,How
480,Bạn có yêu Đại học Bách khoa Hà Nội không?,Yes/No
481,Bạn nghĩ ai sẽ là nhà vô địch SEEECUP 2024?,Who
482,Điều gì làm bạn cảm thấy hạnh phúc nhất?,What
483,Hiệu trưởng của trường Điện - Điện tử là ai?,Who
484,Câu slogan của sinh viên trường Điện - Điện tử là gì?,What
485,BCH SEEE có phải là ngôi nhà thứ hai của bạn không?,Yes/No
486,Một tháng bạn thường đọc bao nhiêu cuốn sách?,Quantity
487,Bạn sẽ làm gì vào Noel năm nay?,What
488,Bạn có người yêu chưa?,Yes/No
489,Bạn có thích học Toán hơn Văn không?,Yes/No
490,Ai là người truyền cảm hứng lớn nhất trong cuộc sống của bạn?,Who
491,Món quà nào bạn đã nhận được mà bạn trân trọng nhất?,What
492,Khi nào bạn cảm thấy tự hào nhất về bản thân?,When
493,Tại sao bạn chọn học tại ngôi trường này?,Why
494,Bạn thường làm gì để giữ tinh thần lạc quan trong những ngày khó khăn?,How
495,Có phải bạn thường ưu tiên nghỉ ngơi vào cuối tuần?,Yes/No
496,Điều gì làm bạn ấn tượng nhất khi lần đầu tiên gặp gỡ ai đó?,What
497,Kỳ nghỉ cuối cùng bạn đi đâu?,Where
498,Bạn có chọn làm việc ở công ty yêu thích nếu được mời không?,Yes/No
499,Bạn đã bao giờ tham gia vào một khóa học quân sự chưa?,Yes/No
500,Làm thế nào để bạn đối mặt với áp lực trong công việc hoặc học tập?,How
501,Bạn nghĩ việc sử dụng công nghệ có ảnh hưởng tích cực hay tiêu cực đến trẻ em?,What
502,Bạn có muốn học lý thuyết hơn thực hành không?,Yes/No
503,Điều gì khiến bạn ngủ nhiều như vậy?,What
504,Bạn đã từng nghĩ đến việc thử thách bản thân với một kỹ năng mới chưa?,Yes/No
505,Khi nào bạn cảm thấy mình đang làm điều đúng đắn nhất?,When
506,Bạn muốn được sinh sống ở đâu nếu không phải ở quê hương của mình?,Where
507,Làm thế nào để bạn giúp bạn bè vượt qua khó khăn?,How
508,Ai là người đầu tiên bạn muốn chia sẻ khi có một tin vui?,Who
509,"Nếu có thể quay ngược thời gian, bạn muốn sửa chữa điều gì trong quá khứ?",What
510,Có phải bạn thích các hoạt động ngoài trời hơn ở nhà?,Yes/No
511,Bạn có cảm thấy thoải mái khi làm việc nhóm không?,Yes/No
512,Tại sao bạn lại chọn ngành học hoặc nghề nghiệp hiện tại?,Why
513,Bạn thường dành bao nhiêu thời gian để tập thể dục mỗi tuần?,Quantity
514,Khi nào bạn bắt đầu cảm thấy mình thực sự trưởng thành?,When
515,Bạn nghĩ yếu tố quan trọng nhất để xây dựng một mối quan hệ tốt đẹp là gì?,What
516,Bạn sẽ làm gì để kỷ niệm một ngày đặc biệt của mình?,How
517,Món ăn truyền thống nào bạn cảm thấy tự hào nhất khi giới thiệu cho bạn bè quốc tế?,What
518,Bạn có thể giải thích cách bạn quản lý thời gian trong lịch trình bận rộn không?,How
519,Điều gì làm bạn cảm thấy khó khăn nhất khi học một ngôn ngữ mới?,What
520,Tại sao bạn chọn loại âm nhạc này để thư giãn?,Why
521,Bạn nghĩ gì về ý tưởng làm việc từ xa trong tương lai?,What
522,Ai là người bạn cảm thấy biết ơn nhất trong cuộc sống của mình?,Who
523,Khi nào là lần cuối cùng bạn dành thời gian cho gia đình một cách trọn vẹn?,When
524,Bạn nghĩ điều gì tạo nên một nhà lãnh đạo tốt?,What
525,Bạn sẽ làm gì nếu trúng số độc đắc?,How
526,Khi nào bạn cảm thấy cần phải thay đổi thói quen hiện tại?,When
527,Bạn đã bao giờ thử nghiệm một công thức nấu ăn mới chưa?,Yes/No
528,Làm thế nào để bạn duy trì sự tập trung trong công việc?,How
529,Tại sao bạn nghĩ rằng việc học tập suốt đời là quan trọng?,Why
530,"Nếu có cơ hội, bạn sẽ chọn làm việc ở ngành nghề nào khác?",What
531,Bạn nghĩ như thế nào về việc xây dựng thói quen bảo vệ môi trường?,What
532,Bạn có thể chia sẻ một kỷ niệm đáng nhớ về thời đi học không?,What
533,Ai là người đã có ảnh hưởng lớn đến quyết định quan trọng nhất của bạn?,Who
534,Làm thế nào để bạn vượt qua nỗi sợ hãi trong cuộc sống?,How
535,Bạn đã bao giờ phải đưa ra một quyết định khó khăn chưa? ,Yes/No
536,Tại sao bạn thích sách thay vì các phương tiện giải trí khác?,Why
537,Bạn nghĩ như thế nào về việc kết hợp trí tuệ nhân tạo vào cuộc sống hàng ngày?,What
538,Bạn có kế hoạch gì đặc biệt cho tương lai gần không?,Yes/No
539,"Nếu chỉ còn một ngày để sống, bạn sẽ làm gì?",How
540,Tại sao bạn nghĩ rằng sự trung thực là phẩm chất quan trọng?,Why
541,Bạn đã từng thay đổi ý kiến của mình về một vấn đề lớn chưa?,Yes/No
542,Bạn đã từng làm việc gì khiến bạn cảm thấy hối hận chưa?,Yes/No
543,Trường Điện - Điện tử có bao nhiêu khoa?,Quantity
544,Con gà này có giá bao nhiêu?,Quantity
545,Tại sao bạn muốn học ngành này?,Why
546,Người yêu đầu tiên của bạn là ai?,Who
547,Khóa học Python có giá bao nhiêu?,Quantity
548,Tại sao mọi người lại thích chơi hơn học?,Why
549,Bạn đang cố gắng vì điều gì?,What
550,Mục tiêu của bạn sau khi ra trường là gì?,What
551,Bạn tốt nghiệp Đại học Bách khoa Hà Nội vào năm nào?,When
552,Tại sao bạn thích tham gia các công tác Đoàn - Hội?,Why
553,Điện thoại của bạn thuộc hãng nào?,What
554,"Nếu có 1 điều ước, bạn sẽ ước điều gì?",What
555,Bạn đã từng không thích một người nào đó chưa?,Yes/No
556,Trường Điện - Điện tử được thành lập vào năm nào?,When
557,Trường Điện - Điện tử được gộp từ bao nhiêu viện?,Quantity
558,Bạn có một ước mơ lớn nào mà chưa thực hiện được không?,Yes/No
559,Tại sao bạn chọn tổ chức tiệc cưới ở nhà hàng đó?,Why
560,Điều gì làm bạn cảm thấy hạnh phúc mỗi ngày?,What
561,Bạn có nghĩ rằng công nghệ sẽ thay đổi hoàn toàn cách học trong tương lai?,What
562,Bạn có bao giờ trải qua một tình huống dở khóc dở cười trong công việc học tập?,Yes/No
563,Bạn nghĩ thế nào về việc làm việc từ xa?,What
564,Bạn có bao giờ muốn bắt đầu một công việc kinh doanh riêng không?,Yes/No
565,"Nếu có thể trở thành một chuyên gia trong một lĩnh vực nào đó, bạn sẽ chọn gì?",What
566,Điều gì làm bạn cảm thấy tự hào nhất về bản thân?,What
567,Bạn nghĩ gì về việc học hỏi từ những những người bạn của mình?,What
568,Bạn cảm thấy thế nào khi đối mặt với những thử thách mới trong công việc học tập?,How
569,"Nếu có thể thay đổi một quyết định quan trọng trong cuộc đời, bạn sẽ thay đổi gì?",What
570,Bạn có bao giờ bị ảnh hưởng bởi một cuốn sách hoặc bộ phim nào đó không?,Yes/No
571,"Nếu bạn có thể sống trong một thời đại khác, bạn sẽ chọn thời kỳ nào?",When
572,Bạn có tin vào định mệnh không?,Yes/No
573,Bạn nghĩ gì về việc tìm kiếm cơ hội thay vì chờ đợi cơ hội đến?,What
574,Bạn chọn sử dụng sản phẩm nilon hay sản phẩm đã tái chế?,Yes/No
575,Bạn rất yêu bố mẹ của bạn đúng không?,Yes/No
576,Bạn đã bao giờ bị bất ngờ bởi một người bạn làm điều tốt đẹp cho bạn?,Yes/No
577,"Nếu bạn có thể gặp một người nổi tiếng, bạn muốn gặp ai?",Who
578,Bạn sẽ làm gì nếu có thể quay lại thời gian và gặp lại bản thân 10 năm trước?,What
579,"Nếu có thể sống ở một hành tinh khác, bạn sẽ chọn hành tinh nào?",Where
580,Bạn nghĩ gì về việc sống một cuộc sống tối giản?,What
581,Bạn có nghĩ rằng sự tự lập quan trọng hơn việc dựa vào người khác không?,Yes/No
582,Điều gì làm bạn cảm thấy kiên nhẫn nhất trong cuộc sống?,What
583,"Nếu bạn có thể thay đổi một điều trong xã hội, bạn sẽ thay đổi gì?",What
584,Kỳ này bạn học bao nhiêu môn?,Quantity
585,Bạn nghĩ rằng một ngày nào đó tất cả công việc sẽ được tự động hóa?,Yes/No
586,Nơi nào bạn thấy bình yên nhất mỗi khi nghĩ về?,Where
587,Bạn có quyết tâm đạt được điểm A môn NLP không?,Yes/No
588,Bộ dữ liệu của bạn có bao nhiêu câu hỏi?,Quantity
589,Cho hỏi yếu tố cốt lõi tạo nên hạnh phúc gia đình là gì?,What
590,Bạn cần làm bao nhiêu dự án trong kỳ này?,Quantity
591,Chuyện gì xảy ra với bạn vậy? Kể mình nghe với?,What
592,Mọi người cho em hỏi sở thích như thế nào là lành mạnh?,What
593,Điều gì trong cuộc sống này quan trọng nhất theo quan điểm của bạn?,What
594,Mục tiêu năm nay của bạn là gì? Chia sẻ cho mọi người cùng biết nhé!,What
595,Món tủ của các bạn là món gì?,What
596,Recommend cho mình vài cuốn sách hay nên đọc với?,What
597,Dạo này có phim gì hay không mọi người?,What
598,Con vật nào bạn thấy đáng yêu nhất?,What
599,"Theo mọi người, màu sắc nào thể hiện sự sang trọng?",What
600,"Du lịch nước ngoài, nên đi nước nào đầu tiên nhỉ?",What
601,Nhạc gì nghe lúc buồn là “auto” tâm trạng nhỉ?,What
602,Công việc lý tưởng trong tương lai của bạn là gì?,What
603,Ước mơ lớn nhất đời bạn là gì?,What
604,Bí kíp để có nhiều tiền là gì?,What
605,Vượt qua khó khăn bạn hay làm gì?,How
606,"Nấu phở ngon, bí quyết là gì nhỉ?",How
607,Cách học thuộc hiệu quả nhất?,How
608,"Giữ lửa học tập, ai có bí kíp gì không?",How
609,"Gặp tình huống khó xử, bạn thường làm gì?",How
610,"Mỗi sáng thức dậy tràn đầy năng lượng, bạn làm thế nào vậy?",How
611,"Để sống khỏe mạnh, cần lưu ý những gì?",How
612,Xử lý khủng hoảng truyền thông thế nào cho hiệu quả?,How
613,Quản lý thời gian sao cho khoa học?,How
614,Ai có mẹo gì để tự tin hơn không?,How
615,"Xây dựng mối quan hệ tốt với đồng nghiệp, bắt đầu từ đâu?",How
616,"Tiết kiệm tiền hiệu quả, chia sẻ kinh nghiệm đi ạ?",How
617,"Để đạt được mục tiêu, chúng ta cần làm gì?",How
618,"Học kỹ năng mới, nên bắt đầu từ đâu nhỉ?",How
619,"Chiến thắng nỗi sợ, có ai làm được chưa, chia sẻ với?",How
620,"Trở thành phiên bản tốt hơn của chính mình, bạn đã làm điều đó như thế nào?",How
621,"Tìm kiếm đam mê, có khó lắm không?",How
622,"Để hạnh phúc hơn, mình nên thay đổi điều gì?",How
623,"Tạo ra sự khác biệt cho cộng đồng, bắt đầu từ những hành động nhỏ nào?",How
624,Dùng mạng xã hội sao cho văn minh?,How
625,"Giảm thiểu rác thải nhựa, ai có cao kiến gì không?",How
626,"Du lịch bụi giá rẻ, làm thế nào nhỉ?",How
627,"Viết một bài luận “chất”, có bí kíp gì không?",How
628,"Phỏng vấn xin việc, làm sao để “ghi điểm” với nhà tuyển dụng?",How
629,Học “tủ” có phải là cách học hiệu quả?,How
630,Bạn học làm bánh ở đâu vậy? Chỉ mình với!,How
631,Làm sao họ thắng trận đó vậy? Khó tin thật!,How
632,Đường nào để đi đến đó nhanh nhất?,How
633,Bạn thấy sao về lựa chọn của mình?,How
634,Quan điểm của bạn về vấn đề này?,How
635,Chất lượng dịch vụ ở đây bạn đánh giá thế nào?,How
636,Liên lạc với bạn bằng cách nào?,How
637,"Lúc rảnh rỗi, bạn thường làm gì?",How
638,"Cải thiện kỹ năng giao tiếp, có ai có kinh nghiệm gì không?",How
639,"Giảm stress hiệu quả, mách mình với?",How
640,"Tăng cường trí nhớ, có phương pháp nào hay?",How
641,"Ngủ ngon hơn, làm thế nào đây?",How
642,"Viết lách “mượt” hơn, luyện tập thế nào nhỉ?",How
643,Bí quyết để gây ấn tượng trong lần gặp đầu tiên?,How
644,"Để sáng tạo hơn, cần thay đổi tư duy như thế nào?",How
645,"Ra quyết định đúng đắn, khó quá, phải làm sao?",How
646,"Giữ lửa tình yêu, có khó lắm không?",How
647,"Vượt qua thất vọng, bạn đã làm điều đó như thế nào?",How
648,"Trở thành leader giỏi, tố chất cần có là gì?",How
649,"Học cách tha thứ, liệu có dễ dàng?",How
650,"Xây dựng sự nghiệp, bắt đầu từ đâu là hợp lý?",How
651,"Áp lực công việc, làm sao để vượt qua đây?",How
652,"Tìm sự giúp đỡ khi cần thiết, có ngại lắm không?",How
653,"Cân bằng công việc và cuộc sống, có bí kíp gì không ạ?",How
654,"Phát triển bản thân, nên bắt đầu từ kỹ năng nào?",How
655,"Rèn luyện tính kiên nhẫn, ai có phương pháp gì hay không?",How
656,"Giải quyết mâu thuẫn, làm thế nào cho êm đẹp?",How
657,"Lắng nghe hiệu quả, có phải ai cũng làm được?",How
658,"Tự tin vào bản thân, làm thế nào để có được?",How
659,"Chống lại sự trì hoãn, có cách nào hay không?",How
660,"Ý nghĩa cuộc sống, bạn đã tìm thấy chưa?",How
661,Sống sao cho ý nghĩa nhỉ?,How
662,"Đóng góp cho xã hội, nên bắt đầu từ đâu?",How
663,"Trở thành người có ích, có khó không mọi người?",How
664,"Để tương lai tốt đẹp hơn, chúng ta cần làm gì ngay từ bây giờ?",How
665,Bạn giỏi thế là do đâu?,How
666,Chỉ mình cách dùng phần mềm này với?,How
667,Sửa cái này ở đâu uy tín nhỉ?,How
668,"Làm video “triệu view”, có khó không?",How
669,"Trở thành KOL, cần những yếu tố gì?",How
670,"Trồng cây, có kỹ thuật gì để cây mau lớn không?",How
671,"Nuôi dạy con, phương pháp nào là tốt nhất?",How
672,"Vì sao việc học cách nói ""không"" lại quan trọng?",Why
673,Tại sao thư viện Tạ Quang Bửu luôn đông nghìn nghịt?,Why
674,"Nguyên nhân nào dẫn đến tình trạng ""cháy"" phòng vào mùa đăng ký môn học?",Why
675,Vì sao đồ án tốt nghiệp lại là nỗi ám ảnh của sinh viên năm cuối?,Why
676,"Điều gì làm nên sự ""khó nhằn"" của các môn đại cương ở Bách Khoa?",What
677,Lý do gì khiến cho việc tìm phòng trọ gần trường lại khó khăn?,Why
678,"Nguyên nhân của việc ""mất gốc"" kiến thức là gì?",Why
679,Tại sao sinh viên Bách Khoa lại thích mặc áo đồng phục?,Why
680,Vì sao một số bạn lại chọn học nhóm thay vì học một mình?,Why
681,"Điều gì làm cho ""mùa hè xanh"" trở thành một trải nghiệm đáng nhớ?",What
682,Tại sao con người lại cần nghệ thuật?,Why
683,Vì sao chúng ta lại cảm thấy hạnh phúc khi giúp đỡ người khác?,Why
684,Lý do gì khiến một số người thích đi du lịch bụi?,Why
685,Tại sao việc đọc sách lại quan trọng cho sự phát triển cá nhân?,Why
686,"Vì sao chúng ta lại có những trải nghiệm ""déjà vu""?",Why
687,Điều gì thúc đẩy con người sáng tạo? ,What
688,Tại sao một số người lại sợ độ cao?,Why
689,Vì sao chúng ta lại cảm thấy ghen tị với thành công của người khác?,Why
690,Lý do gì khiến một số người ăn chay?,Why
691,Tại sao việc bảo vệ môi trường lại là trách nhiệm chung của toàn xã hội?,Why
692,Vì sao chúng ta lại thích nghe nhạc buồn khi thất tình?,Why
693,Điều gì tạo nên sự khác biệt giữa tình bạn và tình yêu? ,What
694,Tại sao một số người lại nghiện mua sắm?,Why
695,Vì sao chúng ta lại cảm thấy khó khăn khi đưa ra quyết định quan trọng?,Why
696,Lý do gì khiến một số người thích sống một mình?,Why
697,Tại sao học ngoại ngữ lại mở ra nhiều cơ hội?,Why
698,Vì sao chúng ta lại có những giấc mơ kỳ lạ?,Why
699,Điều gì ảnh hưởng đến sự hình thành sở thích cá nhân? ,What
700,Tại sao một số người lại dễ bị stress hơn những người khác?,Why
701,Vì sao chúng ta lại cảm thấy hối tiếc về những việc mình chưa làm?,Why
702,Lý do gì khiến một số người có khả năng lãnh đạo tốt?,Why
703,Tại sao đặt mục tiêu lại giúp chúng ta thành công hơn?,Why
704,Vì sao chúng ta lại cảm thấy đồng cảm với những hoàn cảnh khó khăn?,Why
705,Điều gì tạo nên sự gắn kết giữa các thành viên trong một cộng đồng? ,What
706,Tại sao một số người lại sợ thất bại?,Why
707,Vì sao chúng ta lại thích xem phim kinh dị?,Why
708,Lý do gì khiến một số người có khả năng thuyết phục người khác?,Why
709,Tại sao việc duy trì các mối quan hệ xã hội lại quan trọng?,Why
710,Vì sao chúng ta lại cảm thấy hài lòng khi hoàn thành một công việc khó khăn?,Why
711,Điều gì ảnh hưởng đến quyết định mua hàng của chúng ta? ,What
712,Tại sao một số người lại thích mạo hiểm?,Why
713,Vì sao chúng ta lại cảm thấy khó chịu khi bị người khác chỉ trích?,Why
714,Lý do gì khiến một số người có khả năng sáng tạo nghệ thuật?,Why
715,Tại sao việc học cách quản lý tài chính cá nhân lại cần thiết?,Why
716,Vì sao chúng ta lại cảm thấy vui vẻ khi được khen ngợi?,Why
717,Điều gì tạo nên sự khác biệt giữa các nền văn hóa? ,What
718,Tại sao một số người lại có trí nhớ tốt hơn những người khác?,Why
719,Vì sao chúng ta lại cảm thấy bồn chồn trước những sự kiện quan trọng?,Why
720,Lý do gì khiến một số người có khả năng tự học hiệu quả?,Why
721,Tại sao nói Bách Khoa Hà Nội là cái nôi của các start-up công nghệ?,Why
722,Vì sao chúng ta lại cảm thấy khó chịu khi bị mắc kẹt trong giao thông?,Why
723,Điều gì ảnh hưởng đến sự tự tin của một người? ,What
724,Tại sao một số người lại thích nuôi thú cưng?,Why
725,Vì sao chúng ta lại cảm thấy tức giận khi bị đối xử bất công?,Why
726,Lý do gì khiến một số người có khả năng phục hồi sau thất bại nhanh hơn?,Why
727,"Nguyên nhân của hiện tượng ""cộng hưởng đám đông"" là gì?",Why
728,Vì sao chúng ta lại cảm thấy lo lắng khi phải thuyết trình trước đám đông?,Why
729,Điều gì tạo nên sự hấp dẫn của một người? ,What
730,Tại sao một số người lại thích làm việc nhóm hơn làm việc độc lập?,Why
731,Vì sao chúng ta lại cảm thấy hối hận khi làm tổn thương người khác?,Why
732,Lý do gì khiến một số người có khả năng truyền cảm hứng cho người khác?,Why
733,"Nguyên nhân của hiện tượng ""bóng đè"" là gì?",Why
734,Vì sao chúng ta lại cảm thấy căng thẳng khi phải thay đổi thói quen?,Why
735,Điều gì ảnh hưởng đến sự phát triển trí tuệ cảm xúc của một người?,What
736,Tại sao một số người lại thích sống ở thành phố hơn nông thôn?,Why
737,Vì sao chúng ta lại cảm thấy buồn khi nghe tin người thân qua đời?,Why
738,Lý do gì khiến một số người có khả năng giải quyết vấn đề tốt hơn?,Why
739,Tại sao việc học cách tha thứ lại giúp chúng ta thanh thản hơn?,Why
740,Vì sao chúng ta lại cảm thấy hào hứng khi bắt đầu một dự án mới?,Why
741,Điều gì tạo nên sự khác biệt giữa các thế hệ? ,What
742,Tại sao một số người lại thích chơi game?,Why
743,Vì sao chúng ta lại cảm thấy sợ hãi khi phải đối mặt với những điều không chắc chắn?,Why
744,Lý do gì khiến một số người có khả năng sáng tác âm nhạc?,Why
745,Tại sao việc học cách quản lý cảm xúc lại quan trọng?,Why
746,Vì sao chúng ta lại cảm thấy thoải mái khi ở bên cạnh những người thân yêu?,Why
747,Điều gì ảnh hưởng đến sự lựa chọn nghề nghiệp của một người? ,What
748,Tại sao một số người lại thích đọc sách trinh thám?,Why
749,Vì sao chúng ta lại cảm thấy khó chịu khi bị người khác lừa dối?,Why
750,Vì sao thời gian lại trôi nhanh hơn khi chúng ta già đi?,Why
751,Tại sao việc học cách yêu thương bản thân lại quan trọng?,Why
752,Vì sao chúng ta lại cảm thấy phấn khích khi đạt được mục tiêu?,Why
753,"Điều gì làm cho ""tuổi thanh xuân"" ở Bách Khoa trở nên đáng nhớ?",What
754,Tại sao một số người lại thích xem phim cổ trang?,Why
755,Vì sao chúng ta lại cảm thấy hối tiếc khi không dành đủ thời gian cho gia đình?,Why
756,Lý do gì khiến một số người có khả năng vượt qua nghịch cảnh?,Why
757,Tại sao việc học cách từ chối lại quan trọng?,Why
758,Vì sao chúng ta lại cảm thấy buồn chán khi không có việc gì để làm?,Why
759,Điều gì ảnh hưởng đến sự hình thành giá trị quan của một người? ,What
760,Tại sao một số người lại thích tập thể dục?,Why
761,Vì sao chúng ta lại cảm thấy tức giận khi chứng kiến sự bất công?,Why
762,Lý do gì khiến một số người có khả năng sáng tạo ra những ý tưởng mới?,Why
763,Tại sao việc học cách xây dựng các mối quan hệ lành mạnh lại quan trọng?,Why
764,Vì sao chúng ta lại cảm thấy hạnh phúc khi được làm điều mình yêu thích?,Why
765,Điều gì tạo nên sự khác biệt giữa các quốc gia? ,What
766,Vì lẽ gì con người luôn khao khát tìm kiếm ý nghĩa của cuộc sống?,Why
767,Nguyên nhân gì khiến nhiều người trẻ ngại kết hôn và sinh con?,Why
768,Vì sao lừa đảo qua mạng ngày càng tinh vi và phổ biến?,Why
769,"Lý do gì khiến nhiều người mắc các bệnh về tâm lý như trầm cảm, lo âu?",Why
770,Tại sao giá xăng dầu lại biến động liên tục?,Why
771,Lý do gì khiến giá nhà đất ở các thành phố lớn ngày càng tăng cao?,Why
772,Tại sao một số người lại có thói quen mua sắm để giải tỏa căng thẳng?,Why
773,Vì sao ca sĩ Chi Dân lại vướng vào scandal?,Why
774,"Tại sao concert của BlackPink lại ""cháy vé"" nhanh chóng?",Why
775,Tại sao nhóm nhạc T-ara lại tan rã dù đang ở đỉnh cao sự nghiệp?,Why
776,Vì sao phong cách thời trang của Sơn Tùng MTP lại trở thành xu hướng?,Why
777,Lý do gì khiến một số nghệ sĩ bị tẩy chay?,Why
778,Tại sao chương trình truyền hình thực tế này lại thu hút đông đảo khán giả?,Why
779,Nguyên nhân sâu xa đằng sau những cuộc chiến tranh tôn giáo là gì?,Why
780,Bạn dự định học tiếng Nhật khi nào?,When
781,Thời điểm nào trong năm bạn thấy thích hợp nhất để đi du lịch?,When
782,"Theo bạn, khi nào một người được coi là trưởng thành?",When
783,Chuyến bay của bạn khi nào sẽ cất cánh?,When
784,Đến khi nào bạn mới chịu thừa nhận sai lầm của mình?,When
785,Bạn nghĩ bao giờ thì mình mới mua được nhà?,When
786,Khi nào bạn cảm thấy cần phải thay đổi bản thân?,When
787,Lần cuối cùng bạn đi khám sức khỏe tổng quát là khi nào?,When
788,Khi nào bạn nghĩ là thời điểm thích hợp để kết hôn?,When
789,Bạn thường thức dậy vào lúc mấy giờ? ,When
790,Khi nào bạn cảm thấy hối hận vì đã không nỗ lực hết mình?,When
791,"Theo bạn, khi nào thì nên bắt đầu tiết kiệm cho tương lai?",When
792,"Lần gần nhất bạn khóc là khi nào, vì lý do gì?",When
793,Khi nào bạn dự định sẽ nghỉ hưu?,When
794,Bạn nghĩ khi nào thì nên bắt đầu học cách đầu tư?,When
795,Thời điểm nào trong ngày bạn cảm thấy làm việc hiệu quả nhất?,When
796,Khi nào bạn cảm thấy cần phải ở một mình?,When
797,"Lần cuối bạn nói ""Tôi yêu bạn"" với bố mẹ là khi nào?",When
798,Khi nào bạn nghĩ rằng mình đã sẵn sàng để trở thành cha mẹ?,When
799,Bạn thường đi ngủ vào lúc nào?,When
800,Khi nào bạn cảm thấy lo lắng về tương lai?,When
801,"Theo bạn, khi nào thì nên buông bỏ một mối quan hệ?",When
802,Lần đầu tiên bạn biết yêu là khi nào?,When
803,Bạn nghĩ khi nào thì con người có thể đặt chân lên Sao Hỏa?,When
804,Thời điểm nào trong quá khứ bạn muốn quay lại nhất?,When
805,Khi nào bạn cảm thấy tự tin vào bản thân mình?,When
806,Lần cuối cùng bạn làm việc tốt là khi nào?,When
807,Khi nào bạn nghĩ là thời điểm thích hợp để nói lời xin lỗi?,When
808,Bạn thường dành thời gian cho gia đình vào lúc nào?,When
809,Khi nào bạn cảm thấy cần phải thay đổi công việc?,When
810,Lần gần nhất bạn học được một điều mới là khi nào?,When
811,Khi nào bạn dự định sẽ đi du lịch một mình?,When
812,Bạn nghĩ khi nào thì nên bắt đầu lập kế hoạch cho tương lai?,When
813,Thời điểm nào trong năm bạn cảm thấy hạnh phúc nhất?,When
814,Khi nào bạn cảm thấy cô đơn và lạc lõng?,When
815,Lần cuối bạn đọc một cuốn sách là khi nào?,When
816,Khi nào bạn nghĩ là thời điểm thích hợp để bắt đầu lại từ đầu?,When
817,Bạn thường làm gì vào cuối tuần? ,When
818,Khi nào bạn cảm thấy hối tiếc vì đã không nói ra suy nghĩ của mình?,When
819,"Theo bạn, khi nào thì nên ngừng theo đuổi một mục tiêu?",When
820,Lần đầu tiên bạn kiếm được tiền là khi nào?,When
821,Khi nào bạn dự định sẽ học thêm một kỹ năng mới?,When
822,Bạn nghĩ khi nào thì nên tha thứ cho bản thân?,When
823,Thời điểm nào trong ngày bạn cảm thấy thư giãn nhất?,When
824,Khi nào bạn cảm thấy cần phải trốn chạy khỏi thực tại?,When
825,Lần cuối bạn dành thời gian cho sở thích cá nhân là khi nào?,When
826,Khi nào bạn nghĩ là thời điểm thích hợp để kết thúc một tình bạn?,When
827,Bạn thường suy nghĩ về tương lai vào lúc nào?,When
